0	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70
0.005	-70.0004	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-70	-69.9999	-69.9999	-69.9999	-69.9999	-70	-70	-69.9999	-69.9999	-69.9999	-70	-69.9999	-70	-70	-70
0.01	-70.0011	-70.0001	-70	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999
0.015	-70.002	-70.0002	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9999	-69.9999	-69.9998	-69.9998	-69.9998	-69.9999	-69.9998	-69.9999	-69.9999	-69.9999
0.02	-70.003	-70.0004	-70	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9999	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9999	-69.9998
0.025	-70.0041	-70.0007	-70	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9999	-69.9998	-69.9998	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9998	-69.9998	-69.9997	-69.9997	-69.9997	-69.9998	-69.9997	-69.9998	-69.9998	-69.9998
0.03	-70.0052	-70.001	-70	-69.9999	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9998	-69.9996	-69.9997	-69.9997	-69.9997	-69.9997	-69.9997	-69.9998	-69.9997
0.035	-70.0064	-70.0014	-70.0001	-69.9999	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9997	-69.9997	-69.9997	-69.9996	-69.9996	-69.9996	-69.9996	-69.9997	-69.9997	-69.9996	-69.9996	-69.9996	-69.9997	-69.9996	-69.9997	-69.9997	-69.9997
0.04	-70.0076	-70.0019	-70.0002	-69.9999	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9997	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9997	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9996	-69.9997	-69.9997
0.045	-70.0088	-70.0024	-70.0004	-69.9999	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9997	-69.9997	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9998	-69.9997	-69.9996	-69.9996	-69.9995	-69.9995	-69.9995	-69.9996	-69.9996	-69.9997	-69.9995	-69.9995	-69.9996	-69.9996	-69.9995	-69.9996	-69.9997	-69.9996
